Amazon Mobile App Distribution
Aggregate Sales Report
1/31/2015 - 2/20/2015
Mobile Apps

Notes
Units Sold  -  The gross number of units sold.
Trial Units  -  The total number of free trial sign-ups during the subscription period.
Paid Units  -   This number includes each transaction related to a paid subscription. for example a monthly subscription will be recorded as a paid unit once each month each time the transaction occurs.
Gross Revenue  -  This is calculated by multiplying units sold by the customer's price.
Units Returned   -  These are the total number of units for which amazon refunded the customer's price.
Refunded Revenue  -  Total amount refunded to customers who returned their purchase.

App Sales Report
1/31/2015 - 2/20/2015
Mobile Apps

Summary
Marketplace,From Date,To Date,Apps,Vendor SKU,Units Sold,Gross Revenue,Units Returned,Refunded Revenue,Sales Currency Code
Amazon.ca,1/31/2015,2/20/2015,Highway Rally,003A10AA,3,0.00,0,0.00,CAD
Amazon.ca,1/31/2015,2/20/2015,Crash Drive 2,,1,0.00,0,0.00,CAD
Amazon.cn,1/31/2015,2/20/2015,Crash Drive 2,,1,0.00,0,0.00,CNY
Amazon.co.jp,1/31/2015,2/20/2015,Minicar Champion : Circuit Race,004A10AA,4,0,0,0,JPY
Amazon.co.jp,1/31/2015,2/20/2015,Highway Rally,003A10AA,3,0,0,0,JPY
Amazon.co.jp,1/31/2015,2/20/2015,Crash Drive 2,,2,0,0,0,JPY
Amazon.co.uk,1/31/2015,2/20/2015,Cowaboom,002A10AA,5,0.00,0,0.00,GBP
Amazon.co.uk,1/31/2015,2/20/2015,Minicar Champion : Circuit Race,004A10AA,73,0.00,0,0.00,GBP
Amazon.co.uk,1/31/2015,2/20/2015,Highway Rally,003A10AA,38,0.00,0,0.00,GBP
Amazon.co.uk,1/31/2015,2/20/2015,Peacekeeper,007A10AA,8,0.00,0,0.00,GBP
Amazon.co.uk,1/31/2015,2/20/2015,Crash Drive 2,,187,0.00,0,0.00,GBP
Amazon.com,1/31/2015,2/20/2015,Cowaboom,002A10AA,52,0.00,0,0.00,USD
Amazon.com,1/31/2015,2/20/2015,Minicar Champion : Circuit Race,004A10AA,269,0.00,0,0.00,USD
Amazon.com,1/31/2015,2/20/2015,Highway Rally,003A10AA,359,0.00,0,0.00,USD
Amazon.com,1/31/2015,2/20/2015,Peacekeeper,007A10AA,30,0.00,0,0.00,USD
Amazon.com,1/31/2015,2/20/2015,Crash Drive 2,,"5,320",0.00,0,0.00,USD
Amazon.com,1/31/2015,2/20/2015,Wasabi,008A10AA,4,0.00,0,0.00,USD
Amazon.com.au,1/31/2015,2/20/2015,Highway Rally,003A10AA,1,0.00,0,0.00,AUD
Amazon.de,1/31/2015,2/20/2015,Minicar Champion : Circuit Race,004A10AA,8,0.00,0,0.00,EUR
Amazon.de,1/31/2015,2/20/2015,Highway Rally,003A10AA,43,0.00,0,0.00,EUR
Amazon.de,1/31/2015,2/20/2015,Peacekeeper,007A10AA,1,0.00,0,0.00,EUR
Amazon.de,1/31/2015,2/20/2015,Crash Drive 2,,32,0.00,0,0.00,EUR
Amazon.es,1/31/2015,2/20/2015,Cowaboom,002A10AA,1,0.00,0,0.00,EUR
Amazon.es,1/31/2015,2/20/2015,Minicar Champion : Circuit Race,004A10AA,6,0.00,0,0.00,EUR
Amazon.es,1/31/2015,2/20/2015,Highway Rally,003A10AA,2,0.00,0,0.00,EUR
Amazon.es,1/31/2015,2/20/2015,Crash Drive 2,,1,0.00,0,0.00,EUR
Amazon.fr,1/31/2015,2/20/2015,Cowaboom,002A10AA,1,0.00,0,0.00,EUR
Amazon.fr,1/31/2015,2/20/2015,Minicar Champion : Circuit Race,004A10AA,18,0.00,0,0.00,EUR
Amazon.fr,1/31/2015,2/20/2015,Highway Rally,003A10AA,1,0.00,0,0.00,EUR
Amazon.fr,1/31/2015,2/20/2015,Crash Drive 2,,27,0.00,0,0.00,EUR
Amazon.it,1/31/2015,2/20/2015,Cowaboom,002A10AA,2,0.00,0,0.00,EUR
Amazon.it,1/31/2015,2/20/2015,Minicar Champion : Circuit Race,004A10AA,3,0.00,0,0.00,EUR
Amazon.it,1/31/2015,2/20/2015,Highway Rally,003A10AA,100,0.00,0,0.00,EUR
Amazon.it,1/31/2015,2/20/2015,Peacekeeper,007A10AA,1,0.00,0,0.00,EUR
Amazon.it,1/31/2015,2/20/2015,Crash Drive 2,,16,0.00,0,0.00,EUR

Detail
Marketplace,Date,Apps,Vendor SKU,Units Sold,Gross Revenue,Units Returned,Refunded Revenue,Sales Currency Code
Amazon.ca,2/2/2015,Highway Rally,003A10AA,2,0.00,0,0.00,CAD
Amazon.ca,2/15/2015,Highway Rally,003A10AA,1,0.00,0,0.00,CAD
Amazon.ca,2/15/2015,Crash Drive 2,,1,0.00,0,0.00,CAD
Amazon.cn,2/16/2015,Crash Drive 2,,1,0.00,0,0.00,CNY
Amazon.co.jp,2/1/2015,Highway Rally,003A10AA,1,0,0,0,JPY
Amazon.co.jp,2/2/2015,Minicar Champion : Circuit Race,004A10AA,1,0,0,0,JPY
Amazon.co.jp,2/6/2015,Minicar Champion : Circuit Race,004A10AA,1,0,0,0,JPY
Amazon.co.jp,2/6/2015,Highway Rally,003A10AA,1,0,0,0,JPY
Amazon.co.jp,2/8/2015,Minicar Champion : Circuit Race,004A10AA,1,0,0,0,JPY
Amazon.co.jp,2/8/2015,Crash Drive 2,,1,0,0,0,JPY
Amazon.co.jp,2/14/2015,Minicar Champion : Circuit Race,004A10AA,1,0,0,0,JPY
Amazon.co.jp,2/14/2015,Highway Rally,003A10AA,1,0,0,0,JPY
Amazon.co.jp,2/18/2015,Crash Drive 2,,1,0,0,0,JPY
Amazon.co.uk,1/31/2015,Minicar Champion : Circuit Race,004A10AA,9,0.00,0,0.00,GBP
Amazon.co.uk,1/31/2015,Highway Rally,003A10AA,1,0.00,0,0.00,GBP
Amazon.co.uk,1/31/2015,Peacekeeper,007A10AA,1,0.00,0,0.00,GBP
Amazon.co.uk,1/31/2015,Crash Drive 2,,12,0.00,0,0.00,GBP
Amazon.co.uk,2/1/2015,Cowaboom,002A10AA,1,0.00,0,0.00,GBP
Amazon.co.uk,2/1/2015,Minicar Champion : Circuit Race,004A10AA,3,0.00,0,0.00,GBP
Amazon.co.uk,2/1/2015,Highway Rally,003A10AA,1,0.00,0,0.00,GBP
Amazon.co.uk,2/1/2015,Peacekeeper,007A10AA,1,0.00,0,0.00,GBP
Amazon.co.uk,2/1/2015,Crash Drive 2,,13,0.00,0,0.00,GBP
Amazon.co.uk,2/2/2015,Minicar Champion : Circuit Race,004A10AA,3,0.00,0,0.00,GBP
Amazon.co.uk,2/2/2015,Highway Rally,003A10AA,1,0.00,0,0.00,GBP
Amazon.co.uk,2/2/2015,Crash Drive 2,,6,0.00,0,0.00,GBP
Amazon.co.uk,2/3/2015,Cowaboom,002A10AA,1,0.00,0,0.00,GBP
Amazon.co.uk,2/3/2015,Minicar Champion : Circuit Race,004A10AA,2,0.00,0,0.00,GBP
Amazon.co.uk,2/3/2015,Highway Rally,003A10AA,1,0.00,0,0.00,GBP
Amazon.co.uk,2/3/2015,Crash Drive 2,,4,0.00,0,0.00,GBP
Amazon.co.uk,2/4/2015,Minicar Champion : Circuit Race,004A10AA,2,0.00,0,0.00,GBP
Amazon.co.uk,2/4/2015,Highway Rally,003A10AA,1,0.00,0,0.00,GBP
Amazon.co.uk,2/4/2015,Crash Drive 2,,8,0.00,0,0.00,GBP
Amazon.co.uk,2/5/2015,Minicar Champion : Circuit Race,004A10AA,4,0.00,0,0.00,GBP
Amazon.co.uk,2/5/2015,Highway Rally,003A10AA,1,0.00,0,0.00,GBP
Amazon.co.uk,2/5/2015,Peacekeeper,007A10AA,1,0.00,0,0.00,GBP
Amazon.co.uk,2/5/2015,Crash Drive 2,,4,0.00,0,0.00,GBP
Amazon.co.uk,2/6/2015,Minicar Champion : Circuit Race,004A10AA,2,0.00,0,0.00,GBP
Amazon.co.uk,2/6/2015,Highway Rally,003A10AA,2,0.00,0,0.00,GBP
Amazon.co.uk,2/6/2015,Crash Drive 2,,7,0.00,0,0.00,GBP
Amazon.co.uk,2/7/2015,Minicar Champion : Circuit Race,004A10AA,5,0.00,0,0.00,GBP
Amazon.co.uk,2/7/2015,Highway Rally,003A10AA,5,0.00,0,0.00,GBP
Amazon.co.uk,2/7/2015,Crash Drive 2,,8,0.00,0,0.00,GBP
Amazon.co.uk,2/8/2015,Minicar Champion : Circuit Race,004A10AA,5,0.00,0,0.00,GBP
Amazon.co.uk,2/8/2015,Highway Rally,003A10AA,1,0.00,0,0.00,GBP
Amazon.co.uk,2/8/2015,Crash Drive 2,,11,0.00,0,0.00,GBP
Amazon.co.uk,2/9/2015,Cowaboom,002A10AA,1,0.00,0,0.00,GBP
Amazon.co.uk,2/9/2015,Minicar Champion : Circuit Race,004A10AA,3,0.00,0,0.00,GBP
